team1,team2,score1,score2
MalmoMIF,TimraTIK,4,1
RogleRBK,MoraMIK,4,1
FarjestadFBK,VaxjoVLH,4,3
LinkopingLHC,OrebroORE,3,4
SkellefteaSKE,HV71HV71,4,3
BrynasBIF,DjurgardenDIF,2,0
SkellefteaSKE,MalmoMIF,9,0
OrebroORE,RogleRBK,1,4
BrynasBIF,FarjestadFBK,2,3
DjurgardenDIF,FrolundaFHC,3,4
VaxjoVLH,LuleaLHF,2,1
HV71HV71,LinkopingLHC,1,3
TimraTIK,MoraMIK,4,3
LuleaLHF,HV71HV71,3,2
MoraMIK,OrebroORE,2,1
RogleRBK,FarjestadFBK,2,3
LinkopingLHC,VaxjoVLH,1,3
TimraTIK,DjurgardenDIF,3,6
MalmoMIF,BrynasBIF,4,3
FrolundaFHC,SkellefteaSKE,2,3
SkellefteaSKE,LuleaLHF,0,1
OrebroORE,BrynasBIF,0,1
DjurgardenDIF,RogleRBK,1,2
VaxjoVLH,MoraMIK,6,1
FarjestadFBK,MalmoMIF,4,1
HV71HV71,TimraTIK,5,0
FrolundaFHC,LinkopingLHC,4,1
LuleaLHF,TimraTIK,3,2
OrebroORE,HV71HV71,5,1
BrynasBIF,MoraMIK,5,3
DjurgardenDIF,LinkopingLHC,2,1
RogleRBK,VaxjoVLH,6,3
FarjestadFBK,SkellefteaSKE,2,3
FrolundaFHC,MalmoMIF,3,0
SkellefteaSKE,MalmoMIF,2,4
MoraMIK,RogleRBK,1,3
VaxjoVLH,FarjestadFBK,3,2
LinkopingLHC,DjurgardenDIF,3,4
HV71HV71,BrynasBIF,4,1
TimraTIK,LuleaLHF,3,5
FrolundaFHC,OrebroORE,2,1
RogleRBK,LinkopingLHC,3,2
TimraTIK,HV71HV71,2,1
LuleaLHF,MoraMIK,2,1
BrynasBIF,FarjestadFBK,0,6
MalmoMIF,FrolundaFHC,5,3
OrebroORE,SkellefteaSKE,4,3
DjurgardenDIF,VaxjoVLH,2,0
SkellefteaSKE,FrolundaFHC,2,3
OrebroORE,TimraTIK,5,1
VaxjoVLH,LuleaLHF,3,2
FarjestadFBK,RogleRBK,5,2
HV71HV71,MoraMIK,2,5
MalmoMIF,LinkopingLHC,3,2
DjurgardenDIF,BrynasBIF,1,2
LinkopingLHC,FrolundaFHC,4,3
LinkopingLHC,SkellefteaSKE,2,1
FarjestadFBK,DjurgardenDIF,4,3
MoraMIK,VaxjoVLH,1,4
BrynasBIF,OrebroORE,3,2
LuleaLHF,MalmoMIF,3,1
RogleRBK,TimraTIK,3,1
FrolundaFHC,HV71HV71,4,1
SkellefteaSKE,DjurgardenDIF,0,5
OrebroORE,FarjestadFBK,3,6
VaxjoVLH,HV71HV71,0,4
MalmoMIF,BrynasBIF,4,3
FrolundaFHC,LuleaLHF,1,5
TimraTIK,RogleRBK,4,3
FarjestadFBK,FrolundaFHC,3,4
MalmoMIF,VaxjoVLH,2,1
MoraMIK,SkellefteaSKE,3,2
HV71HV71,OrebroORE,3,1
LuleaLHF,RogleRBK,3,1
DjurgardenDIF,TimraTIK,7,4
LuleaLHF,FrolundaFHC,2,3
MoraMIK,FarjestadFBK,4,3
RogleRBK,OrebroORE,2,0
LinkopingLHC,TimraTIK,4,2
VaxjoVLH,MalmoMIF,1,0
DjurgardenDIF,LuleaLHF,1,2
HV71HV71,RogleRBK,3,2
BrynasBIF,SkellefteaSKE,3,1
OrebroORE,MalmoMIF,1,5
TimraTIK,MoraMIK,2,1
FarjestadFBK,LinkopingLHC,3,0
LinkopingLHC,MoraMIK,7,4
LuleaLHF,FarjestadFBK,3,0
BrynasBIF,TimraTIK,3,4
RogleRBK,MalmoMIF,1,2
HV71HV71,DjurgardenDIF,1,3
VaxjoVLH,FrolundaFHC,1,0
MalmoMIF,FrolundaFHC,1,2
SkellefteaSKE,VaxjoVLH,2,1
LinkopingLHC,BrynasBIF,4,0
MoraMIK,BrynasBIF,3,2
VaxjoVLH,OrebroORE,2,3
SkellefteaSKE,HV71HV71,2,3
LinkopingLHC,LuleaLHF,2,1
MalmoMIF,DjurgardenDIF,4,3
LuleaLHF,SkellefteaSKE,3,5
BrynasBIF,VaxjoVLH,1,4
OrebroORE,LinkopingLHC,3,2
DjurgardenDIF,MoraMIK,4,1
RogleRBK,FrolundaFHC,1,2
HV71HV71,MalmoMIF,0,1
TimraTIK,FarjestadFBK,1,0
FrolundaFHC,MoraMIK,3,4
SkellefteaSKE,TimraTIK,3,2
OrebroORE,DjurgardenDIF,2,8
RogleRBK,BrynasBIF,0,4
VaxjoVLH,LinkopingLHC,0,1
HV71HV71,LuleaLHF,5,2
MalmoMIF,FarjestadFBK,4,1
FarjestadFBK,SkellefteaSKE,1,2
LuleaLHF,OrebroORE,2,3
MoraMIK,MalmoMIF,2,1
BrynasBIF,FrolundaFHC,3,4
DjurgardenDIF,RogleRBK,5,2
LinkopingLHC,HV71HV71,5,1
TimraTIK,VaxjoVLH,2,1
FarjestadFBK,HV71HV71,3,1
LuleaLHF,BrynasBIF,3,1
SkellefteaSKE,RogleRBK,5,1
LinkopingLHC,TimraTIK,4,1
MoraMIK,OrebroORE,2,4
FrolundaFHC,DjurgardenDIF,2,1
